Symbol,Closed/Total Vol. (Lots),Entry Price,Avg.Price,PnL,Net PnL,Charges/Swap,Open Time,Close Time,Order,Status
BXAUUSD+,0.02/0.02,"4,450.25","4,456.02",11.54,11.42,-0.12/0.00,27/05/2026 21:15:06,27/05/2026 21:24:44,#59917669,Closed
BXAUUSD+,0.02/0.02,"4,450.33","4,455.84",11.02,10.90,-0.12/0.00,27/05/2026 21:15:03,27/05/2026 21:22:31,#59917663,Closed
BXAUUSD+,0.02/0.02,"4,450.26","4,457.68",14.84,14.72,-0.12/0.00,27/05/2026 21:15:01,27/05/2026 21:20:25,#59917658,Closed
BXAUUSD+,0.02/0.02,"4,448.98","4,449.15",0.34,0.22,-0.12/0.00,27/05/2026 21:11:17,27/05/2026 21:14:13,#59917186,Closed
BXAUUSD+,0.02/0.02,"4,449.41","4,449.18",-0.46,-0.58,-0.12/0.00,27/05/2026 21:11:20,27/05/2026 21:13:52,#59917202,Closed
BXAUUSD+,0.02/0.02,"4,449.19","4,449.20",0.02,-0.10,-0.12/0.00,27/05/2026 21:11:21,27/05/2026 21:11:39,#59917212,Closed
BXAUUSD+,0.02/0.02,"4,448.57","4,448.53",-0.08,-0.20,-0.12/0.00,27/05/2026 21:10:04,27/05/2026 21:10:34,#59917045,Closed
SXAUUSD+,0.02/0.02,"4,448.06","4,448.41",-0.70,-0.82,-0.12/0.00,27/05/2026 21:09:12,27/05/2026 21:09:24,#59916872,Closed
SXAUUSD+,0.02/0.02,"4,448.13","4,447.97",0.32,0.20,-0.12/0.00,27/05/2026 21:09:12,27/05/2026 21:09:21,#59916862,Closed
BXAUUSD+,0.02/0.02,"4,448.90","4,448.56",-0.68,-0.80,-0.12/0.00,27/05/2026 21:08:24,27/05/2026 21:09:03,#59916779,Closed
SXAUUSD+,0.02/0.02,"4,448.92","4,448.81",0.22,0.10,-0.12/0.00,27/05/2026 21:06:06,27/05/2026 21:06:33,#59916296,Closed
BXAUUSD+,0.02/0.02,"4,452.05","4,451.35",-1.40,-1.52,-0.12/0.00,27/05/2026 21:01:35,27/05/2026 21:02:41,#59915489,Closed
BXAUUSD+,0.02/0.02,"4,451.16","4,452.20",2.08,1.96,-0.12/0.00,27/05/2026 20:51:31,27/05/2026 20:58:51,#59912993,Closed
BXAUUSD+,0.02/0.02,"4,451.21","4,451.28",0.14,0.02,-0.12/0.00,27/05/2026 20:50:09,27/05/2026 20:51:09,#59912780,Closed
BXAUUSD+,0.02/0.02,"4,451.18","4,451.21",0.06,-0.06,-0.12/0.00,27/05/2026 20:50:10,27/05/2026 20:50:36,#59912782,Closed
BXAUUSD+,0.02/0.02,"4,451.17","4,451.48",0.62,0.50,-0.12/0.00,27/05/2026 20:50:09,27/05/2026 20:50:32,#59912779,Closed
SXAUUSD+,0.02/0.02,"4,450.35","4,451.28",-1.86,-1.98,-0.12/0.00,27/05/2026 20:49:53,27/05/2026 20:50:02,#59912717,Closed
SXAUUSD+,0.02/0.02,"4,450.11","4,451.35",-2.48,-2.60,-0.12/0.00,27/05/2026 20:49:51,27/05/2026 20:50:01,#59912713,Closed
SXAUUSD+,0.02/0.02,"4,450.13","4,451.33",-2.40,-2.52,-0.12/0.00,27/05/2026 20:49:50,27/05/2026 20:50:00,#59912710,Closed
BXAUUSD+,0.02/0.02,"4,451.06","4,450.23",-1.66,-1.78,-0.12/0.00,27/05/2026 20:49:08,27/05/2026 20:49:47,#59912615,Closed
BXAUUSD+,0.02/0.02,"4,451.16","4,451.32",0.32,0.20,-0.12/0.00,27/05/2026 20:45:51,27/05/2026 20:47:06,#59911781,Closed
SXAUUSD+,0.02/0.02,"4,450.87","4,450.84",0.06,-0.06,-0.12/0.00,27/05/2026 20:44:19,27/05/2026 20:44:39,#59911397,Closed
BXAUUSD+,0.02/0.02,"4,452.03","4,451.26",-1.54,-1.66,-0.12/0.00,27/05/2026 20:43:54,27/05/2026 20:44:07,#59911327,Closed
BXAUUSD+,0.02/0.02,"4,450.75","4,451.03",0.56,0.44,-0.12/0.00,27/05/2026 20:40:55,27/05/2026 20:43:06,#59910855,Closed
BXAUUSD+,0.02/0.02,"4,450.80","4,451.39",1.18,1.06,-0.12/0.00,27/05/2026 20:40:51,27/05/2026 20:41:12,#59910844,Closed
BXAUUSD+,0.02/0.02,"4,451.55","4,450.50",-2.10,-2.22,-0.12/0.00,27/05/2026 20:40:18,27/05/2026 20:40:47,#59910654,Closed
BXAUUSD+,0.02/0.02,"4,451.69","4,450.61",-2.16,-2.28,-0.12/0.00,27/05/2026 20:40:19,27/05/2026 20:40:43,#59910658,Closed
BXAUUSD+,0.02/0.02,"4,451.64","4,451.39",-0.50,-0.62,-0.12/0.00,27/05/2026 20:40:04,27/05/2026 20:40:10,#59910575,Closed
